label,file,fps,frame_count,duration_sec,width,height,file_size_mb
A,A (1).mp4,30.0,80,2.6666666666666665,1920,1080,5.722
A,A (10).mp4,30.0,68,2.2666666666666666,1920,1080,4.825
A,A (11).mp4,30.0,64,2.1333333333333333,1920,1080,4.549
A,A (12).mp4,30.0,60,2.0,1920,1080,4.251
A,A (13).mp4,30.0,56,1.8666666666666667,1920,1080,4.102
A,A (14).mp4,30.0,59,1.9666666666666666,1920,1080,4.205
A,A (15).mp4,30.0,72,2.4,1920,1080,5.114
A,A (16).mp4,30.0,67,2.2333333333333334,1920,1080,4.778
A,A (17).mp4,30.0,62,2.066666666666667,1920,1080,4.527
A,A (18).mp4,30.0,67,2.2333333333333334,1920,1080,4.748
A,A (19).mp4,30.0,64,2.1333333333333333,1920,1080,4.541
A,A (2).mp4,30.0,60,2.0,1920,1080,4.428
A,A (20).mp4,30.0,69,2.3,1920,1080,4.9
A,A (21).mp4,30.0,72,2.4,1920,1080,5.12
A,A (22).mp4,30.0,67,2.2333333333333334,1920,1080,4.855
A,A (23).mp4,30.0,70,2.3333333333333335,1920,1080,5.016
A,A (24).mp4,30.0,70,2.3333333333333335,1920,1080,5.053
A,A (25).mp4,30.0,72,2.4,1920,1080,5.112
A,A (26).mp4,30.0,73,2.433333333333333,1920,1080,5.198
A,A (27).mp4,30.0,76,2.533333333333333,1920,1080,5.457
A,A (28).mp4,30.0,80,2.6666666666666665,1920,1080,5.767
A,A (29).mp4,30.0,85,2.8333333333333335,1920,1080,6.051
A,A (3).mp4,30.0,62,2.066666666666667,1920,1080,4.443
A,A (30).mp4,30.0,80,2.6666666666666665,1920,1080,5.705
A,A (4).mp4,30.0,59,1.9666666666666666,1920,1080,4.259
A,A (5).mp4,30.0,65,2.1666666666666665,1920,1080,4.759
A,A (6).mp4,30.0,66,2.2,1920,1080,4.822
A,A (7).mp4,30.0,70,2.3333333333333335,1920,1080,5.025
A,A (8).mp4,30.0,67,2.2333333333333334,1920,1080,4.868
A,A (9).mp4,30.0,66,2.2,1920,1080,4.678
A,A_1.mp4,30.0,152,5.066666666666666,512,512,1.005
A,A_100.mp4,30.0,151,5.033333333333333,512,512,0.783
A,A_12.mp4,30.0,151,5.033333333333333,512,512,0.771
A,A_13.mp4,30.0,150,5.0,512,512,0.418
A,A_14.mp4,30.0,91,3.033333333333333,1920,1080,6.544
A,A_15.mp4,30.0,148,4.933333333333334,512,512,0.418
A,A_16.mp4,30.0,151,5.033333333333333,512,512,0.779
A,A_19.mp4,14.916666666666666,69,4.625698324022347,1280,720,2.395
A,A_2.mp4,30.0,152,5.066666666666666,512,512,0.769
A,A_20.mp4,30.0,150,5.0,512,512,0.417
A,A_21.mp4,30.0,84,2.8,1920,1080,6.024
A,A_23.mp4,30.0,144,4.8,512,512,0.411
A,A_24.mp4,30.0,151,5.033333333333333,512,512,0.786
A,A_26.mp4,30.0,151,5.033333333333333,512,512,0.774
A,A_29.mp4,30.0,97,3.2333333333333334,1920,1080,6.884
A,A_3.mp4,30.0,152,5.066666666666666,512,512,0.977
A,A_34.mp4,14.916666666666666,63,4.223463687150838,1280,720,2.251
A,A_35.mp4,30.0,130,4.333333333333333,512,512,0.41
A,A_36.mp4,30.0,151,5.033333333333333,512,512,0.779
A,A_38.mp4,30.0,150,5.0,512,512,0.389
A,A_39.mp4,14.916666666666666,56,3.7541899441340782,1280,720,2.003
A,A_4.mp4,30.0,151,5.033333333333333,512,512,0.793
A,A_42.mp4,30.0,149,4.966666666666667,512,512,1.032
A,A_43.mp4,30.0,151,5.033333333333333,512,512,1.613
A,A_44.mp4,30.0,151,5.033333333333333,512,512,0.768
A,A_45.mp4,30.0,112,3.7333333333333334,512,512,0.37
A,A_46.mp4,30.0,58,1.9333333333333333,1920,1080,4.627
A,A_48.mp4,30.0,150,5.0,512,512,0.513
A,A_49.mp4,30.0,72,2.4,1920,1080,5.54
A,A_5.mp4,30.0,152,5.066666666666666,512,512,2.004
A,A_50.mp4,30.0,83,2.7666666666666666,1920,1080,5.903
A,A_51.mp4,30.0,58,1.9333333333333333,1920,1080,4.33
A,A_52.mp4,30.0,152,5.066666666666666,512,512,1.674
A,A_53.mp4,30.0,95,3.1666666666666665,1920,1080,7.015
A,A_55.mp4,30.0,152,5.066666666666666,512,512,1.062
A,A_56.mp4,30.0,151,5.033333333333333,512,512,0.751
A,A_57.mp4,14.985014985014985,70,4.671333333333333,1280,720,2.455
A,A_58.mp4,30.0,150,5.0,512,512,0.388
A,A_59.mp4,30.0,150,5.0,512,512,0.991
A,A_6.mp4,30.0,154,5.133333333333334,512,512,0.989
A,A_61.mp4,30.0,151,5.033333333333333,512,512,0.748
A,A_62.mp4,30.0,152,5.066666666666666,512,512,0.979
A,A_63.mp4,30.0,152,5.066666666666666,512,512,1.053
A,A_7.mp4,30.0,152,5.066666666666666,512,512,2.335
A,A_70.mp4,30.0,111,3.7,1920,1080,7.967
A,A_71.mp4,30.0,98,3.2666666666666666,1920,1080,7.473
A,A_72.mp4,14.916666666666666,73,4.893854748603352,1280,720,2.577
A,A_73.mp4,30.0,115,3.8333333333333335,512,512,0.326
A,A_74.mp4,30.0,151,5.033333333333333,512,512,0.779
